epoch,step,lr,train_loss,train_distill_loss,train_stream_loss,train_non_stream_loss,train_non_stream_apc_loss
1,100,1.8e-05,0.2131,0.2395,0.0752,0.0751,0.7766
1,200,2.6e-05,0.1888,0.1768,0.0691,0.0666,0.7098
1,300,3.5e-05,0.1725,0.1472,0.0639,0.0615,0.6482
1,400,4.3e-05,0.1608,0.1247,0.0603,0.0584,0.592
1,500,5.1e-05,0.1521,0.1085,0.0578,0.0562,0.5443
2,600,5.9e-05,0.1106,0.0366,0.046,0.0463,0.2935
2,700,6.8e-05,0.1088,0.0345,0.0457,0.0459,0.2743
2,800,7.6e-05,0.1066,0.0339,0.045,0.0453,0.2594
2,900,8.4e-05,0.106,0.0331,0.045,0.0453,0.2457
2,1000,9.2e-05,0.105,0.0323,0.0449,0.0452,0.2344
3,1100,0.000101,0.1014,0.0274,0.0446,0.0455,0.1724
3,1200,0.000109,0.0987,0.0288,0.0435,0.044,0.1658
3,1300,0.000117,0.0971,0.0282,0.0429,0.0434,0.1602
3,1400,0.000125,0.0963,0.0278,0.0427,0.0431,0.1551
3,1500,0.000134,0.0957,0.0276,0.0425,0.043,0.1493
3,1600,0.000142,0.0952,0.0272,0.0424,0.0429,0.1439
4,1700,0.00015,0.0907,0.0248,0.0411,0.0414,0.1129
4,1800,0.000158,0.0904,0.0248,0.0412,0.0412,0.11
4,1900,0.000167,0.0894,0.0248,0.0409,0.0407,0.1072
4,2000,0.000175,0.0883,0.0248,0.0404,0.0402,0.1045
4,2100,0.000183,0.0878,0.0247,0.0401,0.0401,0.1025
5,2200,0.000191,0.0856,0.0238,0.0393,0.0395,0.088
5,2300,0.0002,0.0809,0.0238,0.037,0.0372,0.087
5,2400,0.000208,0.0816,0.0236,0.0374,0.0376,0.0847
5,2500,0.000216,0.0813,0.0235,0.0373,0.0375,0.0828
5,2600,0.000224,0.0808,0.0233,0.0372,0.0373,0.0814
5,2700,0.000233,0.0799,0.0231,0.0368,0.0368,0.08
6,2800,0.000241,0.0771,0.0221,0.0356,0.0356,0.073
6,2900,0.000249,0.075,0.0218,0.0346,0.0346,0.072
6,3000,0.000257,0.074,0.0215,0.0342,0.0341,0.0706
6,3100,0.000266,0.0734,0.0214,0.034,0.0338,0.0698
6,3200,0.000274,0.0728,0.0212,0.0337,0.0336,0.0688
7,3300,0.000282,0.0658,0.0199,0.0302,0.0304,0.0649
7,3400,0.00029,0.0678,0.0199,0.0315,0.0312,0.0628
7,3500,0.000299,0.0674,0.0199,0.0312,0.031,0.0622
7,3600,0.000307,0.0665,0.0197,0.0309,0.0306,0.0613
7,3700,0.000315,0.0662,0.0195,0.0308,0.0304,0.0607
7,3800,0.000323,0.0659,0.0193,0.0307,0.0303,0.0603
8,3900,0.000332,0.0614,0.0182,0.0285,0.0281,0.0588
8,4000,0.00034,0.0611,0.0177,0.0284,0.028,0.0578
8,4100,0.000348,0.061,0.0174,0.0284,0.028,0.0572
8,4200,0.000356,0.0603,0.017,0.0281,0.0276,0.0565
8,4300,0.000365,0.0599,0.0167,0.0279,0.0275,0.0558
9,4400,0.000373,0.0581,0.0157,0.027,0.0268,0.0533
9,4500,0.000381,0.0566,0.0151,0.0264,0.0261,0.0522
9,4600,0.000389,0.0563,0.0147,0.0263,0.0259,0.0516
9,4700,0.000398,0.0557,0.0145,0.026,0.0257,0.051
9,4800,0.000406,0.0551,0.0141,0.0258,0.0254,0.0504
9,4900,0.000414,0.0549,0.0139,0.0258,0.0253,0.0496
10,5000,0.000422,0.0504,0.0124,0.0234,0.0234,0.0465
10,5100,0.000431,0.0511,0.0121,0.024,0.0235,0.0457
10,5200,0.000439,0.0509,0.012,0.0241,0.0234,0.0454
10,5300,0.000447,0.0507,0.0118,0.024,0.0233,0.045
10,5400,0.000455,0.0507,0.0115,0.024,0.0233,0.0446
11,5500,0.000464,0.0472,0.0105,0.022,0.022,0.0427
11,5600,0.000472,0.047,0.01,0.022,0.0219,0.0415
11,5700,0.00048,0.0469,0.01,0.0222,0.0217,0.041
11,5800,0.000488,0.0472,0.0099,0.0225,0.0217,0.0405
11,5900,0.000497,0.0472,0.0097,0.0225,0.0217,0.0402
11,6000,0.000505,0.0472,0.0096,0.0226,0.0217,0.0397
12,6100,0.000513,0.0447,0.0085,0.0214,0.0206,0.0369
12,6200,0.000521,0.0443,0.0085,0.021,0.0207,0.037
12,6300,0.00053,0.0444,0.0084,0.0208,0.0209,0.0368
12,6400,0.000538,0.0444,0.0083,0.021,0.0207,0.0364
