epoch,step,lr,train_loss,train_distill_loss,train_stream_loss,train_non_stream_loss,train_non_stream_apc_loss,train_cross_modal_apc_loss
1,100,1.8e-05,0.2198,0.2531,0.0777,0.076,0.0,0.8178
1,200,2.6e-05,0.197,0.2122,0.0703,0.0666,0.0,0.7763
1,300,3.5e-05,0.182,0.1948,0.0644,0.061,0.0,0.7438
1,400,4.3e-05,0.1719,0.1793,0.0604,0.0576,0.0,0.7193
1,500,5.1e-05,0.1649,0.1699,0.0577,0.0552,0.0,0.7015
2,600,5.9e-05,0.1352,0.1449,0.0458,0.0438,0.0,0.6214
2,700,6.8e-05,0.1339,0.144,0.0452,0.0433,0.0,0.619
2,800,7.6e-05,0.1323,0.1461,0.0443,0.0424,0.0,0.6193
2,900,8.4e-05,0.1321,0.146,0.0443,0.0424,0.0,0.6176
2,1000,9.2e-05,0.1316,0.1485,0.044,0.0419,0.0,0.6177
3,1100,0.000101,0.1308,0.1663,0.043,0.0402,0.0,0.6197
3,1200,0.000109,0.1284,0.1688,0.0422,0.0384,0.0,0.6202
3,1300,0.000117,0.1272,0.1715,0.0415,0.0375,0.0,0.6223
3,1400,0.000125,0.1265,0.1719,0.0412,0.0371,0.0,0.6211
3,1500,0.000134,0.1261,0.1726,0.0409,0.0369,0.0,0.62
3,1600,0.000142,0.1255,0.172,0.0407,0.0367,0.0,0.6179
4,1700,0.00015,0.1205,0.1736,0.0386,0.0342,0.0,0.6075
4,1800,0.000158,0.1184,0.1672,0.038,0.0335,0.0,0.6032
4,1900,0.000167,0.1168,0.1672,0.0374,0.0326,0.0,0.6021
4,2000,0.000175,0.1154,0.1667,0.0368,0.032,0.0,0.6005
4,2100,0.000183,0.1147,0.1656,0.0365,0.0317,0.0,0.5982
5,2200,0.000191,0.1098,0.1589,0.0345,0.0303,0.0,0.5824
5,2300,0.0002,0.1047,0.1531,0.0325,0.028,0.0,0.5781
5,2400,0.000208,0.1051,0.1559,0.0328,0.0279,0.0,0.5777
5,2500,0.000216,0.1047,0.1558,0.0326,0.0277,0.0,0.5756
5,2600,0.000224,0.1042,0.1553,0.0324,0.0276,0.0,0.5729
5,2700,0.000233,0.1033,0.1542,0.0321,0.0274,0.0,0.57
6,2800,0.000241,0.098,0.1493,0.0299,0.0255,0.0,0.5528
6,2900,0.000249,0.0962,0.1452,0.0293,0.025,0.0,0.5473
6,3000,0.000257,0.0955,0.1438,0.0291,0.0249,0.0,0.5437
6,3100,0.000266,0.0948,0.1421,0.0289,0.0248,0.0,0.5401
6,3200,0.000274,0.0941,0.1404,0.0286,0.0247,0.0,0.5366
7,3300,0.000282,0.0863,0.1243,0.0263,0.0221,0.0,0.51
7,3400,0.00029,0.0872,0.1269,0.0265,0.0224,0.0,0.5108
7,3500,0.000299,0.0865,0.1255,0.0262,0.0224,0.0,0.5069
7,3600,0.000307,0.0859,0.1245,0.026,0.0223,0.0,0.5033
7,3700,0.000315,0.0855,0.123,0.0259,0.0223,0.0,0.4991
7,3800,0.000323,0.0851,0.1221,0.0259,0.0222,0.0,0.4957
8,3900,0.000332,0.0793,0.1127,0.0241,0.0203,0.0,0.472
8,4000,0.00034,0.0791,0.1107,0.0242,0.0205,0.0,0.4678
8,4100,0.000348,0.0791,0.1105,0.0243,0.0205,0.0,0.4648
8,4200,0.000356,0.0784,0.1085,0.024,0.0205,0.0,0.4605
8,4300,0.000365,0.0778,0.1065,0.0238,0.0205,0.0,0.4563
9,4400,0.000373,0.0727,0.0957,0.022,0.0197,0.0,0.4314
9,4500,0.000381,0.0718,0.0947,0.0221,0.0189,0.0,0.4276
9,4600,0.000389,0.0717,0.0933,0.0222,0.019,0.0,0.4243
9,4700,0.000398,0.0714,0.092,0.0221,0.0191,0.0,0.4209
9,4800,0.000406,0.071,0.0908,0.022,0.019,0.0,0.4175
9,4900,0.000414,0.0709,0.0898,0.022,0.0192,0.0,0.4141
10,5000,0.000422,0.0657,0.0806,0.0203,0.0177,0.0,0.3928
10,5100,0.000431,0.0663,0.0805,0.0209,0.0179,0.0,0.3905
10,5200,0.000439,0.0665,0.0803,0.0209,0.0182,0.0,0.3883
10,5300,0.000447,0.0664,0.0797,0.0209,0.0182,0.0,0.3864
10,5400,0.000455,0.0664,0.0785,0.021,0.0184,0.0,0.3836
11,5500,0.000464,0.0617,0.0705,0.0195,0.0168,0.0,0.3679
11,5600,0.000472,0.0624,0.0698,0.0195,0.0176,0.0,0.3667
11,5700,0.00048,0.0619,0.0685,0.0194,0.0174,0.0,0.3643
11,5800,0.000488,0.0624,0.0686,0.0197,0.0176,0.0,0.3635
11,5900,0.000497,0.0624,0.0678,0.0197,0.0178,0.0,0.362
11,6000,0.000505,0.0626,0.0671,0.0199,0.018,0.0,0.3604
12,6100,0.000513,0.0592,0.0615,0.0187,0.0169,0.0,0.3484
12,6200,0.000521,0.0589,0.0601,0.0189,0.0167,0.0,0.347
12,6300,0.00053,0.0597,0.0613,0.0191,0.0171,0.0,0.3473
12,6400,0.000538,0.06,0.061,0.0193,0.0174,0.0,0.345
12,6500,0.000546,0.0597,0.0602,0.0192,0.0173,0.0,0.3424
13,6600,0.000554,0.0573,0.0543,0.0186,0.017,0.0,0.3263
13,6700,0.000563,0.0565,0.053,0.0183,0.0167,0.0,0.3241
