epoch,step,lr,train_loss,train_distill_loss,train_stream_loss,train_non_stream_loss,train_non_stream_apc_loss,train_cross_modal_apc_loss
1,100,9e-06,0.7011,0.4871,0.0823,0.0814,0.0,0.8078
1,200,1.3e-05,0.6635,0.4064,0.0759,0.0735,0.0,0.7818
1,300,1.7e-05,0.63,0.3561,0.071,0.0679,0.0,0.7522
1,400,2.1e-05,0.602,0.3238,0.0671,0.0638,0.0,0.7248
1,500,2.6e-05,0.5805,0.3018,0.0639,0.0606,0.0,0.7048
2,600,3e-05,0.4782,0.2014,0.0473,0.0453,0.0,0.6193
2,700,3.4e-05,0.4748,0.2023,0.0466,0.0447,0.0,0.6174
2,800,3.8e-05,0.4713,0.204,0.0456,0.0438,0.0,0.6173
2,900,4.2e-05,0.4703,0.204,0.0454,0.0437,0.0,0.6164
2,1000,4.6e-05,0.4686,0.2036,0.045,0.0434,0.0,0.6155
3,1100,5e-05,0.4636,0.1981,0.0441,0.0418,0.0,0.6129
3,1200,5.4e-05,0.4609,0.2046,0.0425,0.0403,0.0,0.6181
3,1300,5.9e-05,0.4593,0.2043,0.0418,0.0396,0.0,0.6199
3,1400,6.3e-05,0.4583,0.2022,0.0416,0.0394,0.0,0.6196
3,1500,6.7e-05,0.4575,0.2015,0.0413,0.0392,0.0,0.6198
3,1600,7.1e-05,0.4569,0.2013,0.0412,0.039,0.0,0.6198
4,1700,7.5e-05,0.4501,0.2034,0.0391,0.0367,0.0,0.6206
4,1800,7.9e-05,0.4501,0.203,0.0391,0.0364,0.0,0.621
4,1900,8.3e-05,0.4484,0.2025,0.0387,0.0359,0.0,0.6206
4,2000,8.7e-05,0.4466,0.2032,0.0382,0.0353,0.0,0.6207
4,2100,9.2e-05,0.4462,0.2048,0.038,0.0351,0.0,0.6209
5,2200,9.6e-05,0.4402,0.2106,0.0364,0.0339,0.0,0.6197
5,2300,0.0001,0.4357,0.2091,0.0349,0.0316,0.0,0.622
5,2400,0.000104,0.4377,0.2118,0.0354,0.0317,0.0,0.623
5,2500,0.000108,0.4364,0.2118,0.0351,0.0315,0.0,0.6225
5,2600,0.000112,0.4355,0.2108,0.0349,0.0312,0.0,0.6222
5,2700,0.000116,0.4338,0.2097,0.0344,0.0308,0.0,0.6218
6,2800,0.00012,0.4288,0.2121,0.0328,0.0292,0.0,0.6231
6,2900,0.000125,0.4243,0.207,0.0319,0.0283,0.0,0.6207
6,3000,0.000129,0.4224,0.2054,0.0315,0.028,0.0,0.6196
6,3100,0.000133,0.4211,0.2048,0.0312,0.0277,0.0,0.6189
6,3200,0.000137,0.4202,0.204,0.031,0.0275,0.0,0.6185
7,3300,0.000141,0.4077,0.1922,0.0285,0.025,0.0,0.6119
7,3400,0.000145,0.4118,0.1991,0.0293,0.0253,0.0,0.6148
7,3500,0.000149,0.4106,0.1992,0.0288,0.0251,0.0,0.6152
7,3600,0.000153,0.4092,0.1984,0.0285,0.0248,0.0,0.6147
7,3700,0.000158,0.409,0.1983,0.0284,0.0247,0.0,0.6147
7,3800,0.000162,0.4083,0.1978,0.0283,0.0245,0.0,0.6143
8,3900,0.000166,0.4008,0.1988,0.0263,0.0221,0.0,0.6136
8,4000,0.00017,0.4015,0.196,0.0267,0.0226,0.0,0.6123
8,4100,0.000174,0.4014,0.1966,0.0267,0.0226,0.0,0.6124
8,4200,0.000178,0.3997,0.1946,0.0264,0.0223,0.0,0.611
8,4300,0.000182,0.3984,0.1928,0.0262,0.0222,0.0,0.6098
9,4400,0.000186,0.389,0.1869,0.0244,0.021,0.0,0.6031
9,4500,0.000191,0.3873,0.1858,0.0242,0.0201,0.0,0.602
9,4600,0.000195,0.3871,0.184,0.0243,0.0202,0.0,0.6008
9,4700,0.000199,0.3863,0.1823,0.0243,0.0202,0.0,0.5994
9,4800,0.000203,0.3853,0.1817,0.0241,0.0201,0.0,0.5987
9,4900,0.000207,0.3848,0.1812,0.024,0.0202,0.0,0.598
10,5000,0.000211,0.3747,0.1741,0.022,0.0184,0.0,0.5918
10,5100,0.000215,0.3755,0.1747,0.0224,0.0185,0.0,0.5913
10,5200,0.000219,0.3755,0.175,0.0224,0.0187,0.0,0.591
10,5300,0.000224,0.3752,0.1753,0.0223,0.0187,0.0,0.5907
10,5400,0.000228,0.3751,0.175,0.0225,0.0188,0.0,0.5898
11,5500,0.000232,0.3666,0.1699,0.0212,0.0169,0.0,0.5823
11,5600,0.000236,0.365,0.1668,0.021,0.0172,0.0,0.58
11,5700,0.00024,0.3651,0.1672,0.021,0.0171,0.0,0.5803
11,5800,0.000244,0.3654,0.1672,0.0212,0.0174,0.0,0.5796
11,5900,0.000248,0.3653,0.1674,0.0212,0.0176,0.0,0.5791
11,6000,0.000252,0.3647,0.1669,0.0212,0.0177,0.0,0.578
12,6100,0.000257,0.3582,0.1641,0.0203,0.0168,0.0,0.5714
12,6200,0.000261,0.3571,0.1621,0.0202,0.0166,0.0,0.5698
12,6300,0.000265,0.357,0.1626,0.0202,0.0166,0.0,0.5696
12,6400,0.000269,0.357,0.1628,0.0203,0.0166,0.0,0.5692
12,6500,0.000273,0.3562,0.1621,0.0202,0.0167,0.0,0.568
13,6600,0.000277,0.3492,0.1568,0.0196,0.0154,0.0,0.5592
13,6700,0.000281,0.3482,0.1577,0.0191,0.0151,0.0,0.5602
13,6800,0.000285,0.3482,0.1577,0.0192,0.0152,0.0,0.5596
13,6900,0.00029,0.3482,0.1576,0.0193,0.0155,0.0,0.5586
13,7000,0.000294,0.3478,0.1573,0.0194,0.0156,0.0,0.5575
14,7100,0.000298,0.3355,0.1519,0.0171,0.014,0.0,0.5484
14,7200,0.000302,0.3387,0.1518,0.0182,0.0147,0.0,0.5474
14,7300,0.000306,0.34,0.154,0.0185,0.015,0.0,0.5478
14,7400,0.00031,0.3401,0.1546,0.0186,0.0152,0.0,0.5471
14,7500,0.000314,0.3392,0.1536,0.0186,0.0152,0.0,0.5457
14,7600,0.000318,0.3386,0.1529,0.0186,0.0153,0.0,0.5445
15,7700,0.000323,0.3253,0.144,0.0168,0.013,0.0,0.5314
15,7800,0.000327,0.3288,0.1493,0.0173,0.0136,0.0,0.5341
15,7900,0.000331,0.3286,0.1487,0.0174,0.0138,0.0,0.5331
15,8000,0.000335,0.3301,0.1503,0.0178,0.014,0.0,0.5333
15,8100,0.000339,0.3302,0.1508,0.0179,0.0143,0.0,0.5327
16,8200,0.000343,0.3216,0.1444,0.0166,0.0148,0.0,0.5231
16,8300,0.000347,0.3193,0.1427,0.0165,0.0134,0.0,0.5207
16,8400,0.000351,0.3187,0.1436,0.0164,0.0133,0.0,0.5199
16,8500,0.000356,0.3196,0.1452,0.0167,0.0136,0.0,0.5198
16,8600,0.00036,0.3201,0.1461,0.0169,0.0137,0.0,0.5192
16,8700,0.000364,0.3209,0.1471,0.0172,0.0141,0.0,0.5184
17,8800,0.000368,0.3107,0.1412,0.0159,0.0129,0.0,0.5072
17,8900,0.000372,0.3111,0.142,0.0161,0.0131,0.0,0.507
17,9000,0.000376,0.3114,0.1426,0.0162,0.0132,0.0,0.5064
17,9100,0.00038,0.311,0.1423,0.0163,0.0132,0.0,0.5052
17,9200,0.000384,0.3111,0.1421,0.0165,0.0135,0.0,0.5041
18,9300,0.000389,0.3013,0.1368,0.015,0.0131,0.0,0.4937
18,9400,0.000393,0.3018,0.1353,0.0155,0.0133,0.0,0.4919
18,9500,0.000397,0.3039,0.1373,0.0162,0.0132,0.0,0.4921
18,9600,0.000401,0.3039,0.1378,0.0162,0.0133,0.0,0.4916
18,9700,0.000405,0.3036,0.1374,0.0163,0.0134,0.0,0.4905
18,9800,0.000409,0.3034,0.1372,0.0164,0.0135,0.0,0.4896
19,9900,0.000413,0.2992,0.1353,0.0159,0.0134,0.0,0.4844
19,10000,0.000417,0.2968,0.133,0.0156,0.0132,0.0,0.4818
19,10100,0.000422,0.297,0.1333,0.0157,0.0134,0.0,0.4813
19,10200,0.000426,0.2959,0.1312,0.0157,0.0134,0.0,0.4789
19,10300,0.00043,0.2956,0.1309,0.0157,0.0135,0.0,0.4782
20,10400,0.000434,0.2872,0.1241,0.0146,0.0132,0.0,0.4685
20,10500,0.000438,0.2891,0.1229,0.0156,0.0123,0.0,0.4675
20,10600,0.000442,0.2885,0.1227,0.0154,0.0124,0.0,0.4671
20,10700,0.000446,0.2892,0.1232,0.0157,0.0125,0.0,0.4669
20,10800,0.00045,0.2888,0.1226,0.0158,0.0126,0.0,0.4655
20,10900,0.000455,0.2882,0.1217,0.0158,0.0127,0.0,0.464
21,11000,0.000459,0.2791,0.1165,0.0145,0.0121,0.0,0.4543
21,11100,0.000463,0.2776,0.1159,0.0142,0.0121,0.0,0.4533
21,11200,0.000467,0.2772,0.1157,0.0142,0.0122,0.0,0.4521
21,11300,0.000471,0.2774,0.1156,0.0145,0.0124,0.0,0.4509
21,11400,0.000475,0.2771,0.1146,0.0147,0.0125,0.0,0.4487
22,11500,0.000479,0.2689,0.1095,0.0143,0.0114,0.0,0.4363
22,11600,0.000483,0.2704,0.1102,0.0145,0.0119,0.0,0.4373
22,11700,0.000488,0.2706,0.1105,0.0147,0.0122,0.0,0.4366
22,11800,0.000492,0.2699,0.1103,0.0147,0.0125,0.0,0.4349
22,11900,0.000496,0.2693,0.1096,0.0149,0.0127,0.0,0.4323
22,12000,0.0005,0.2675,0.1081,0.0148,0.0128,0.0,0.4289
23,12100,0.0005,0.2555,0.1008,0.014,0.0122,0.0,0.4107
23,12200,0.0005,0.2531,0.0989,0.0138,0.012,0.0,0.4074
23,12300,0.0005,0.2514,0.0973,0.0137,0.0116,0.0,0.4053
23,12400,0.0005,0.2521,0.0976,0.0139,0.0117,0.0,0.4048
23,12500,0.0005,0.2513,0.097,0.014,0.0119,0.0,0.4026
24,12600,0.0005,0.2363,0.0875,0.0126,0.0115,0.0,0.3817
24,12700,0.0005,0.2382,0.0883,0.0129,0.0113,0.0,0.3841
24,12800,0.0005,0.2376,0.0879,0.013,0.0112,0.0,0.3826
24,12900,0.0005,0.2371,0.0874,0.0131,0.0111,0.0,0.3813
24,13000,0.0005,0.2366,0.087,0.0131,0.0111,0.0,0.3802
24,13100,0.0005,0.2365,0.0867,0.0133,0.0113,0.0,0.3785
25,13200,0.0005,0.2324,0.0836,0.0134,0.0102,0.0,0.3705
25,13300,0.0005,0.2311,0.083,0.0131,0.0102,0.0,0.37
25,13400,0.0005,0.229,0.0824,0.0127,0.0102,0.0,0.3684
25,13500,0.0005,0.2288,0.0822,0.0129,0.0107,0.0,0.366
25,13600,0.0005,0.2272,0.0811,0.0129,0.0109,0.0,0.3629
26,13700,0.0005,0.2159,0.0746,0.0116,0.0098,0.0,0.3492
26,13800,0.0005,0.2137,0.0727,0.0115,0.0099,0.0,0.3456
26,13900,0.0005,0.2148,0.0735,0.0119,0.0101,0.0,0.3451
26,14000,0.0005,0.2138,0.0727,0.012,0.0101,0.0,0.3427
26,14100,0.0005,0.2131,0.0721,0.0121,0.0103,0.0,0.3405
27,14200,0.0005,0.2107,0.0709,0.0125,0.0114,0.0,0.3324
27,14300,0.0005,0.206,0.0691,0.0114,0.0092,0.0,0.3319
27,14400,0.0005,0.2059,0.0687,0.0114,0.0092,0.0,0.3312
27,14500,0.0005,0.2061,0.0685,0.0116,0.0092,0.0,0.3305
27,14600,0.0005,0.2054,0.0679,0.0117,0.0094,0.0,0.3286
27,14700,0.0005,0.2053,0.0677,0.0117,0.0095,0.0,0.3278
28,14800,0.0005,0.1956,0.0645,0.0102,0.0099,0.0,0.3176
28,14900,0.0005,0.1952,0.0639,0.0105,0.0098,0.0,0.3152
28,15000,0.0005,0.1949,0.0631,0.0106,0.0096,0.0,0.314
28,15100,0.0005,0.1942,0.0623,0.0108,0.0094,0.0,0.3117
28,15200,0.0005,0.1942,0.0621,0.011,0.0095,0.0,0.3102
29,15300,0.0005,0.1915,0.0606,0.011,0.0081,0.0,0.3063
29,15400,0.0005,0.1932,0.0614,0.0114,0.008,0.0,0.3077
29,15500,0.0005,0.1925,0.061,0.0113,0.0082,0.0,0.3064
29,15600,0.0005,0.1914,0.0605,0.0112,0.0082,0.0,0.305
29,15700,0.0005,0.1906,0.0599,0.0111,0.0082,0.0,0.3038
29,15800,0.0005,0.1902,0.0596,0.0111,0.0082,0.0,0.3031
30,15900,0.0005,0.1814,0.0563,0.0095,0.0082,0.0,0.2952
30,16000,0.0005,0.1824,0.0563,0.0099,0.0081,0.0,0.2948
30,16100,0.0005,0.1815,0.056,0.0099,0.0079,0.0,0.2936
30,16200,0.0005,0.1803,0.0554,0.0098,0.0083,0.0,0.2912
30,16300,0.0005,0.1797,0.055,0.0099,0.0084,0.0,0.2894
31,16400,0.0005,0.1723,0.0511,0.0098,0.0098,0.0,0.2739
31,16500,0.0005,0.1716,0.0513,0.0092,0.0088,0.0,0.2773
31,16600,0.0005,0.1714,0.0511,0.0093,0.0086,0.0,0.2766
31,16700,0.0005,0.1717,0.051,0.0095,0.0084,0.0,0.2759
31,16800,0.0005,0.1727,0.0512,0.0098,0.0082,0.0,0.2761
31,16900,0.0005,0.1741,0.0516,0.0103,0.0084,0.0,0.2761
32,17000,0.0005,0.1693,0.0503,0.0093,0.008,0.0,0.2726
32,17100,0.0005,0.1673,0.0492,0.009,0.0079,0.0,0.2707
