epoch,step,lr,train_loss,train_distill_loss,train_stream_loss,train_non_stream_loss,train_non_stream_apc_loss,train_cross_modal_apc_loss
1,100,1.5e-05,0.6167,0.3736,0.0785,0.0766,0.0,0.8074
1,200,2.1e-05,0.5723,0.3066,0.071,0.0675,0.0,0.7657
1,300,2.8e-05,0.541,0.2794,0.0658,0.0619,0.0,0.7327
1,400,3.4e-05,0.5198,0.261,0.0622,0.0584,0.0,0.7099
1,500,4.1e-05,0.5047,0.2472,0.0594,0.0559,0.0,0.6947
2,600,4.8e-05,0.4325,0.1774,0.0466,0.0445,0.0,0.6183
2,700,5.4e-05,0.4301,0.1785,0.0462,0.0439,0.0,0.6158
2,800,6.1e-05,0.4276,0.1787,0.0455,0.0432,0.0,0.6144
2,900,6.7e-05,0.4268,0.1779,0.0455,0.0431,0.0,0.6132
2,1000,7.4e-05,0.4255,0.1764,0.0452,0.0428,0.0,0.6123
3,1100,8.1e-05,0.4251,0.175,0.0442,0.0424,0.0,0.6151
3,1200,8.7e-05,0.4215,0.174,0.0437,0.0407,0.0,0.6131
3,1300,9.4e-05,0.4202,0.1767,0.0428,0.0399,0.0,0.6147
3,1400,0.0001,0.4196,0.1764,0.0427,0.0396,0.0,0.6143
3,1500,0.000107,0.4193,0.1775,0.0425,0.0393,0.0,0.6147
3,1600,0.000114,0.4193,0.179,0.0424,0.0391,0.0,0.6152
4,1700,0.00012,0.4168,0.1892,0.041,0.0369,0.0,0.6177
4,1800,0.000127,0.4161,0.1924,0.0409,0.0363,0.0,0.6178
4,1900,0.000133,0.4151,0.1954,0.0404,0.0355,0.0,0.6185
4,2000,0.00014,0.4144,0.1986,0.04,0.0349,0.0,0.6191
4,2100,0.000147,0.414,0.1997,0.0399,0.0347,0.0,0.619
5,2200,0.000153,0.4155,0.2153,0.0398,0.0332,0.0,0.6235
5,2300,0.00016,0.4053,0.2073,0.037,0.0308,0.0,0.6173
5,2400,0.000166,0.4054,0.2083,0.0372,0.0307,0.0,0.6169
5,2500,0.000173,0.4046,0.2076,0.037,0.0306,0.0,0.616
5,2600,0.00018,0.4034,0.2069,0.0368,0.0304,0.0,0.6148
5,2700,0.000186,0.4017,0.2054,0.0365,0.03,0.0,0.6133
6,2800,0.000193,0.3947,0.2056,0.0349,0.0283,0.0,0.6076
6,2900,0.000199,0.3908,0.2017,0.0341,0.0274,0.0,0.6043
6,3000,0.000206,0.3874,0.1968,0.0336,0.0271,0.0,0.5999
6,3100,0.000213,0.3858,0.1959,0.0333,0.0269,0.0,0.5984
6,3200,0.000219,0.3841,0.1943,0.033,0.0267,0.0,0.5962
7,3300,0.000226,0.3706,0.1849,0.0304,0.0239,0.0,0.5839
7,3400,0.000232,0.3711,0.188,0.0302,0.0244,0.0,0.584
7,3500,0.000239,0.369,0.1858,0.0298,0.0241,0.0,0.5819
7,3600,0.000246,0.3675,0.185,0.0295,0.0238,0.0,0.5803
7,3700,0.000252,0.3666,0.184,0.0295,0.0239,0.0,0.5785
7,3800,0.000259,0.3652,0.183,0.0293,0.0238,0.0,0.5765
8,3900,0.000265,0.3535,0.1757,0.0276,0.0216,0.0,0.5634
8,4000,0.000272,0.352,0.1733,0.0276,0.0218,0.0,0.5603
8,4100,0.000279,0.3509,0.1716,0.0275,0.0219,0.0,0.5583
8,4200,0.000285,0.3485,0.169,0.0271,0.0217,0.0,0.5553
8,4300,0.000292,0.3469,0.1671,0.0271,0.0217,0.0,0.5525
9,4400,0.000298,0.3379,0.1597,0.0263,0.021,0.0,0.5389
9,4500,0.000305,0.3352,0.1606,0.0257,0.0197,0.0,0.5379
9,4600,0.000312,0.3338,0.1589,0.0255,0.0199,0.0,0.5355
9,4700,0.000318,0.332,0.157,0.0253,0.0199,0.0,0.5326
9,4800,0.000325,0.3304,0.1559,0.0251,0.0199,0.0,0.5303
9,4900,0.000331,0.3292,0.1548,0.0251,0.02,0.0,0.5278
10,5000,0.000338,0.3152,0.1433,0.0229,0.0182,0.0,0.511
10,5100,0.000345,0.3146,0.1428,0.0232,0.0183,0.0,0.5087
10,5200,0.000351,0.3149,0.144,0.0234,0.0186,0.0,0.5079
10,5300,0.000358,0.3141,0.1436,0.0234,0.0187,0.0,0.5061
10,5400,0.000364,0.3127,0.1421,0.0234,0.0188,0.0,0.5032
11,5500,0.000371,0.3005,0.1333,0.0221,0.0174,0.0,0.4864
11,5600,0.000378,0.2984,0.1305,0.0219,0.0177,0.0,0.4825
11,5700,0.000384,0.297,0.1295,0.0219,0.0177,0.0,0.4801
11,5800,0.000391,0.2964,0.1292,0.022,0.0178,0.0,0.4784
11,5900,0.000397,0.2953,0.1283,0.022,0.0179,0.0,0.4761
11,6000,0.000404,0.2941,0.1273,0.022,0.0179,0.0,0.4736
12,6100,0.000411,0.2828,0.1196,0.0211,0.0165,0.0,0.4571
12,6200,0.000417,0.2823,0.1193,0.021,0.0169,0.0,0.4558
12,6300,0.000424,0.2816,0.1194,0.021,0.017,0.0,0.4544
12,6400,0.00043,0.2805,0.1187,0.021,0.017,0.0,0.452
12,6500,0.000437,0.279,0.1172,0.021,0.017,0.0,0.4493
13,6600,0.000444,0.2702,0.1104,0.021,0.0166,0.0,0.4331
13,6700,0.00045,0.2678,0.1088,0.0206,0.016,0.0,0.4308
13,6800,0.000457,0.2658,0.1069,0.0203,0.016,0.0,0.4281
13,6900,0.000463,0.2649,0.1058,0.0203,0.0162,0.0,0.426
13,7000,0.00047,0.2635,0.1045,0.0202,0.0161,0.0,0.4237
14,7100,0.000477,0.2537,0.1005,0.018,0.0153,0.0,0.4125
14,7200,0.000483,0.2499,0.093,0.0185,0.0145,0.0,0.4059
14,7300,0.00049,0.2519,0.0939,0.0191,0.0154,0.0,0.4064
14,7400,0.000496,0.2518,0.094,0.0193,0.0156,0.0,0.4053
14,7500,0.000503,0.2503,0.0923,0.0193,0.0157,0.0,0.4023
14,7600,0.00051,0.2492,0.091,0.0193,0.0158,0.0,0.3997
15,7700,0.000516,0.2379,0.0835,0.0178,0.0141,0.0,0.3859
15,7800,0.000523,0.2381,0.0831,0.0179,0.0145,0.0,0.385
15,7900,0.000529,0.2379,0.0828,0.0181,0.0148,0.0,0.3835
15,8000,0.000536,0.2378,0.0827,0.0183,0.015,0.0,0.3823
15,8100,0.000543,0.237,0.0822,0.0184,0.0152,0.0,0.3803
16,8200,0.000549,0.2276,0.0768,0.0172,0.0139,0.0,0.3679
16,8300,0.000556,0.2271,0.0759,0.0174,0.0145,0.0,0.3656
16,8400,0.000562,0.226,0.0753,0.0175,0.0142,0.0,0.3635
16,8500,0.000569,0.2253,0.0749,0.0176,0.0144,0.0,0.3617
16,8600,0.000576,0.2248,0.0742,0.0177,0.0147,0.0,0.3596
16,8700,0.000582,0.2237,0.0732,0.0179,0.0149,0.0,0.3565
17,8800,0.000589,0.2109,0.0658,0.0163,0.0139,0.0,0.3385
17,8900,0.000595,0.2091,0.0649,0.0161,0.0138,0.0,0.3357
17,9000,0.000602,0.2084,0.0641,0.0164,0.0141,0.0,0.3331
17,9100,0.000609,0.2075,0.0635,0.0165,0.0143,0.0,0.3303
17,9200,0.000615,0.206,0.0623,0.0168,0.0145,0.0,0.3263
